Company Name,Skill,Title
Rope Media Pvt. Ltd.,"continuous integration, Spring mvc, Web services, Payment systems...",1
Rroot Shell Technologies Private Limited,"SAP BO, Management Services, Performance Optimization...",1
Sathguru Management Consultants Pvt Ltd.,"external communication, media relations, newsletters...",1
Ryan India Tax Services Pvt. Ltd.(Great Place to Work Certified),"Database Administration, dba, Powershell, SSRS, SAS 70, SQL Server, Telerik...",1
Spectrum,"d365, senior management, project management, erp, project development...",1
S&P Global Inc.,"Data analysis, metadata, analytical, functions, Database design, level...",1
Spectrum,"SAP ECC, cloud integration, Application Lead, supply planning...",1
S-Square Data Systems Private Limited,"Dataguard, Exadata, Oracle SQL, RAC, Cloning, Oracle DBA, Patching...",1
Spacelabs Healthcare,"Wireless, Telecom, Networking, WAN, VPN, VOIP, Healthcare, cisco...",1
Solugenix India Private Limited,"splunk, Dashboards, unix",1
Solugenix India Private Limited,"Java, CVS, Agile Methodology, Weblogic, Web Technologies, Aem...",1
Smart IMS (India) Pvt. Ltd,"Cold calling, Managed servicesMPLS, Networking, Diagnostics, Appliances...",1
S-Square Data Systems Private Limited,"Unix, Control - M, Linux, Oracle Database, Cognos, PLSQL, Informatica...",1
Skillsoft,"Unix, Automation, Linux, Networking, Technical writing, Javascript, Perl...",1
Skillsoft,"Computer science, Tomcat, IIS, SOA, Coding, Technical writing, MySQL...",1
S-Square Data Systems Private Limited,"Unix, R12, Cloning, Weblogic, Oracle Apps Dba, PLSQL, Patching, Demantra...",1
Skill On Tap,"Java, Webservices Testing, Automation Testing Tools, API Testing...",1
2Coms Consulting Pvt Ltd.,"CSS, MS SQL, Angular.js, JavaScript, HTML, JQuery, Oracle",1
Planon,"server, development, Performance management, software, Web development...",1
Quality Thought Infosystems (India) Private Limited,"Training, Maven, data science, Linux, Export import, devops...",1
Okda Solutions,"java, data science, .net, software engineering, machine learning...",1
Novartis Healthcare Pvt. Ltd.,"Service delivery, ERP, SAP, Development Expert, Technical design, Legal...",1
Novartis Healthcare Pvt. Ltd.,"Service delivery, IT services, Business services, IT strategy, Pharma...",1
Novartis Healthcare Pvt. Ltd.,"Service delivery, IT services, Computer science, SOA, Pharma, Healthcare...",1
Novartis Healthcare Pvt. Ltd.,"Service delivery, IT services, PMP, Consulting, Healthcare...",1
